$t$,LDR Reading
0,824
8,847
15,858
24,862
32,864
40,868
48,869
57,870
66,870
74,871
82,871
90,871
98,872
107,872
116,872
126,873
135,873
145,874
154,874
163,873
172,873
181,874
192,874
201,874
210,874
219,874
228,874
238,874
247,874
257,874
266,874
276,874
285,874
294,875
303,874
312,875
323,874
332,874
341,875
350,874
360,874
369,874
378,874
388,874
397,875
407,875
416,875
425,875
434,875
444,874
453,874
463,874
472,875
481,875
491,874
500,874
509,875
518,875
529,875
538,875
547,874
556,875
565,875
575,875
584,875
594,875
603,874
612,874
622,874
631,874
640,874
649,875
660,874
669,875
678,874
687,875
696,875
706,875
715,874
725,875
734,874
744,874
753,875
762,874
771,873
780,875
791,875
800,875
809,874
818,874
828,874
837,875
846,874
856,875
865,874
875,874
884,874
893,874
902,875
911,874
922,874
931,875
940,875
949,875
959,875
968,875
977,875
987,875
996,874
1006,874
1016,874
1026,874
1036,875
1047,875
1058,874
1068,875
1078,873
1089,874
1099,875
1109,875
1120,874
1131,875
1141,875
1151,875
1161,874
1172,875
1182,875
1193,875
1203,875
1214,875
1224,875
1234,875
1244,875
1256,874
1266,875
1276,875
1286,874
1297,875
1307,874
1317,874
1328,875
1338,875
1349,875
1359,875
1369,875
1379,875
1391,875
1401,874
1411,875
1421,874
1432,875
1442,874
1453,874
1463,875
1474,875
1484,875
1494,875
1504,875
1515,875
1526,874
1536,874
1546,875
1557,875
1567,875
1577,875
1588,875
1599,875
1609,874
1619,875
1629,875
1640,874
1650,875
1661,873
1671,875
1682,875
1692,875
1702,875
1712,874
1724,875
1734,875
1744,874
1754,875
1764,873
1775,874
1786,875
1796,874
1806,874
1817,874
1827,873
1837,874
1847,874
1859,875
1869,875
1879,875
1889,875
1900,875
1910,875
1921,874
1931,874
1942,875
1952,875
1962,874
1972,875
1983,875
1994,875
2004,875
2014,875
2025,874
2035,875
2045,875
2056,875
2067,874
2077,875
2087,875
2097,875
2108,875
2119,875
2129,875
2139,875
2150,875
2160,875
2170,874
2180,874
2191,874
2202,874
2212,874
2222,875
2232,875
2243,874
2254,875
2264,874
2274,874
2285,874
2295,875
2305,875
2315,874
2327,875
2337,874
2347,874
2357,874
2368,874
2378,874
2389,875
2399,874
2410,874
2420,874
2430,875
2440,874
2452,875
2462,874
2472,874
2482,874
2493,874
2503,874
2513,874
2524,875
2535,875
2545,874
2555,875
2565,875
2575,874
2587,874
2597,875
2607,875
2617,875
2628,875
2638,874
2648,875
2659,875
2670,874
2680,874
2690,875
2700,875
2711,874
2722,875
2732,874
2742,874
2753,874
2763,875
2773,875
2784,874
2795,875
2805,874
2815,875
2825,874
2836,875
2846,874
2857,875
2867,875
2878,874
2888,874
2898,875
2908,875
2920,874
2930,875
2940,875
2950,874
2961,874
2971,875
2981,874
2992,874
3002,875
3013,875
3023,874
3033,874
3043,874
3055,876
3065,874
3075,874
3085,874
3096,875
3106,875
3117,874
3127,874
3138,874
3148,875
3158,874
3168,874
3179,874
3190,874
3200,874
3210,875
3221,875
3231,875
3241,874
3252,875
3263,875
3273,874
3283,875
3293,875
3304,874
3314,875
3325,874
3335,875
3346,874
3356,875
3366,875
3376,873
3388,874
3398,874
3408,874
3418,875
3428,875
3439,874
3450,874
3460,875
3470,875
3481,875
3491,875
3501,875
3511,874
3523,874
3533,875
3543,874
3553,875
3564,875
3574,875
3585,875
3595,875
3606,875
3616,875
3626,875
3636,874
3647,875
3658,874
3668,874
3678,875
3689,874
3699,874
3709,875
3720,874
3731,874
3741,874
3751,875
3761,875
3772,875
3783,874
3793,875
3803,874
3814,875
3824,874
3834,875
3844,874
3855,875
3866,875
3876,875
3886,875
3896,875
3907,874
3918,874
3928,874
3938,874
3949,875
3959,874
3969,875
3979,874
3991,875
4001,874
4011,875
4021,874
4032,874
4042,875
4053,875
4063,874
4074,875
4084,874
4094,875
4104,874
4116,874
4126,873
4136,874
4146,874
4157,875
4167,874
4177,874
4188,874
4199,875
4209,875
4219,875
4229,875
4239,874
4251,874
4261,874
4271,874
4281,874
4292,875
4302,874
4312,875
4323,874
4334,875
4344,874
4354,875
4364,874
4375,874
4386,874
4396,874
4406,875
4417,875
4427,874
4437,874
4448,874
4459,875
4469,873
4479,874
4489,875
4500,874
4510,874
4521,874
4531,875
4542,874
4552,874
4562,875
4572,874
4584,874
4594,875
4604,874
4614,873
4625,875
4635,874
4645,875
4656,873
4666,875
4677,875
4687,874
4697,874
4707,874
4719,874
4729,874
4739,874
4749,874
4760,873
4770,875
4781,874
4791,874
4802,875
4812,874
4822,875
4832,874
4843,874
4854,874
4864,874
4874,875
4885,874
4895,874
4905,874
4916,873
4927,874
4937,874
4947,875
4957,874
4968,874
4978,873
4989,874
4999,873
5010,874
5020,874
5030,874
5040,875
5052,874
5062,874
5072,875
5082,874
5092,874
5103,874
5114,875
5124,875
5134,875
5145,875
5155,874
5165,874
5175,875
5187,875
5197,875
5207,875
5217,874
5228,875
5238,875
5249,874
5259,874
5270,874
5280,875
5290,875
5300,874
5311,874
5322,875
5332,875
5342,874
5353,875
5363,875
5373,875
5384,874
5395,874
5405,874
5415,874
